fi	sv	en
maastopalo	terrängbrand	wildfire
metsäpalo	skogsbrand	forest fire
pintapalo	ytbrand	surface fire
ryömivä palo	krypande brand	creeping fire
maapalo	jordbrand	ground fire
latvapalo	toppbrand	crown fire
aktiivinen latvapalo	aktiv toppbrand	active crown fire
itsenäinen latvapalo	självständig toppbrand	independent crown fire
passiivinen latvapalo	passiv toppbrand	passive crown fire
ruohikkopalo	gräsbrand	grass fire
turvepalo	torvbrand	peat fire
suopalo	brand på torvmark	peatland fire
turvetuotantoalueen palo	brand på torvproduktionsområde	peat production site fire
kenttäpalo	täktbrand	peat field fire
aumapalo	stackbrand	peat stockpile fire
paloaineskerros	bränsleskikt	fuel bed
palokuorma I	brandbelastning	fuel loading
paloaineskokonaisuus	bränslehelhet	fuel complex
välittäjäaines	stegbränsle	ladder fuel
vaarallinen paloaines	farligt bränsle	hazard fuel
metsän paloaines	skogsbränsle	forest fuel
maan paloaines	markens brandbränsle	ground fuel
latvusaines	kronskiktets brandbränsle	canopy fuels
metsän paloaineksen syttyvyys	antändlighet	forest fuel flammability
paloainestyyppi	bränsletyp	fuel type
palokasvustotyyppi	typ av levande bränsle	live fuel type
paloaineksen kosteuspitoisuus	skogsbränslets fukthalt	fuel moisture content
kuollut paloaines	dött bränsle	dead fuel
kuloheinä	fjolårsgräs	cured grass
elävä paloaines	levande bränsle	live fuel
hieno paloaines	finbränsle	fine fuel
karkea paloaines	grovt brandbränsle	heavy fuel
metsäpalontorjunta	bekämpning av skogsbrand	forest fire protection
metsäpalon torjuntasuunnitelma	bekämpningsplan mot skogsbrand	forest fire protection plan
metsäpalojen ennaltaehkäisy	förebyggande av skogsbränder	forest fire prevention
metsäpalojen havainnointi	bevakning av skogsbränder	forest fire monitoring
metsäpalojen satelliittihavainnointi	satellitövervakning	satellite monitoring of forest fires
metsäpalon sammutus	släckning av skogsbrand	forest fire suppression
ilmatähystys	flygspaning	aerial monitoring
jälkivartiointi	efterbevakning	post-fire surveillance
sammutustaktiikka	släckningstaktik	fire suppression tactics
sammutustekniikka	släckningsteknik	fire suppression technique
sammutuskalusto	släckningsutrustning	fire suppression equipment
jälkisammutus	eftersläckning	mop-up
epäsuora sammutustaktiikka	indirekt släckningstaktik	indirect tactics
suora sammutustaktiikka	direkt släckningstaktik	direct tactics
lentosammutus	flygsläckning	aerial fire suppression
kärjen sammuttaminen	attack mot huvudet	head attack
sivusta sammuttaminen	flankattack	flank attack
rintamasammuttaminen	frontattack	frontal attack
vyöryttäminen	släckning längs eldfronten	fire suppression along the fire front 
metsäpalon rajoittaminen	begränsning av skogsbrand	fire limitation
tukahduttaminen	kvävning	smothering
sammuttaminen kemikaaleilla	släckning med kemikalier	chemical suppression
jäähdyttäminen	avkylning	cooling
vesisammutus	släckning med vatten	water extinguishing
tulella sammuttaminen	släckning med eld	firing out
sammutusraivaus	släckningsröjning	starvation
vastatuli	moteld	backfire
suojapoltto	skyddsbränning	burning out
palon este	brandhinder	fire barrier
luonnoneste	naturligt hinder	natural fire barrier
rajoituslinja	brandbegränsningslinje	firebreak
palokuja	brandgata	fire line
palokäytävä	brandkorridor	fire alley
metsäpaloregiimi	brandregim	forest fire regime
metsäpaloalue	skogsbrandsområde	forest fire area
metsäpaloympäristö	brandpåverkad miljö	fire-impacted environment
palokuorma II	brandbelastning II	fire load
metsäpalon voimakkuus	skogsbrandens styrka	forest fire intensity
metsäpalohistoria	brandhistoria	forest fire history
metsäpaloindeksi	index för skogsbrand	forest fire index
metsäpalovaroitus	varning för skogsbrand	forest fire warning
palojälki	brandspår	burn severity
